Point ID,density,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
4785,1,0.000324902,0.0132212,0.999913,1,-47,11,-1.19549,48.2849,1.61554e-05,-0.000135112,6.18052e-06,0.000136215
4893,1,0.00035042,0.0154725,0.99988,1,-47,12,-1.20966,48.5228,2.05166e-05,-0.000144847,9.33326e-06,0.000146591
4967,1,0.00035981,0.0112708,0.999936,1,-47,13,-1.22364,48.7801,1.82578e-05,-0.000155229,1.22081e-05,0.000156775
5043,1,0.000387198,-0.00382206,0.999993,1,-47,14,-1.23009,49.0562,2.87859e-05,-0.000166347,1.45815e-05,0.000169448
5123,1,0.000360445,-0.0272069,0.99963,1,-47,15,-1.2167,49.3506,2.24755e-05,-0.000177579,1.42737e-05,0.000179564
5207,1,0.000321805,-0.047429,0.998875,1,-47,16,-1.18051,49.6628,1.91639e-05,-0.00018732,1.07337e-05,0.000188604
5297,1,0.000268711,-0.057625,0.998338,1,-47,17,-1.12947,49.9928,1.58275e-05,-0.000194336,6.6014e-06,0.000195091
5396,1,0.000190596,-0.0508788,0.998705,1,-47,18,-1.07254,50.3403,7.04201e-06,-0.00019736,1.45269e-06,0.000197491
5493,1,0.000104532,-0.0333266,0.999444,1,-47,19,-1.03252,50.7057,4.12272e-06,-0.000196276,8.34742e-09,0.00019632
5590,1,-1.09219e-05,-0.0199343,0.999801,1,-47,20,-1.00806,51.0883,2.99886e-06,-0.000192676,-1.2207e-07,0.0001927
6983,1,1.86812e-05,2.26674e-05,1,1,-47,-48,-0.940275,67.1854,6.48182e-06,4.23224e-07,8.13317e-06,1.04087e-05
7041,1,2.30319e-05,2.73292e-05,1,1,-47,-47,-0.940298,66.4747,6.57526e-06,5.67054e-06,8.15239e-06,1.19101e-05
7099,1,4.22879e-05,6.11924e-05,1,1,-47,-46,-0.940329,65.7715,6.82486e-06,1.13413e-05,8.12257e-06,1.553e-05
7157,1,7.12752e-05,6.99699e-05,1,1,-47,-45,-0.940418,65.076,6.57218e-06,1.67895e-05,8.09038e-06,1.9762e-05
7215,1,9.87221e-06,0.00012193,1,1,-47,-44,-0.940467,64.3885,5.94414e-06,2.15413e-05,7.9966e-06,2.37341e-05
7273,1,3.16472e-05,0.000165727,1,1,-47,-43,-0.940659,63.7094,7.67526e-06,2.77221e-05,7.92545e-06,2.98369e-05
7331,1,0.000158894,0.000190984,1,1,-47,-42,-0.940794,63.0388,6.96173e-06,3.23886e-05,7.81371e-06,3.40374e-05
7389,1,9.95941e-05,0.000238396,1,1,-47,-41,-0.941036,62.377,6.52362e-06,3.77804e-05,7.68968e-06,3.9103e-05
7447,1,0.000112207,0.000392367,1,1,-47,-40,-0.941265,61.7243,7.52619e-06,4.22924e-05,7.57136e-06,4.3619e-05
7505,1,0.000236344,0.000642546,1,1,-47,-39,-0.94181,61.081,7.26482e-06,4.80116e-05,7.4309e-06,4.91234e-05
7563,1,0.000238134,0.000842621,1,1,-47,-38,-0.942534,60.4474,6.20152e-06,5.42994e-05,7.23265e-06,5.51289e-05
7621,1,0.000183915,0.00100674,0.999999,1,-47,-37,-0.943475,59.8238,6.08554e-06,6.04478e-05,7.09138e-06,6.11659e-05
7679,1,0.000159713,0.00118268,0.999999,1,-47,-36,-0.944524,59.2106,5.79294e-06,6.59896e-05,6.93732e-06,6.66057e-05
7738,1,0.000141823,0.0014425,0.999999,1,-47,-35,-0.945814,58.608,5.51688e-06,7.22803e-05,6.78009e-06,7.28069e-05
7796,1,3.52238e-05,0.00161776,0.999999,1,-47,-34,-0.947378,58.0164,5.25475e-06,7.99157e-05,6.6468e-06,8.03636e-05
7852,1,4.81525e-05,0.001865,0.999998,1,-47,-33,-0.949018,57.4361,6.17188e-06,8.62917e-05,6.42065e-06,8.67501e-05
7908,1,0.00024403,0.00211467,0.999998,1,-47,-32,-0.951075,56.8674,5.63466e-06,9.44317e-05,6.25363e-06,9.48061e-05
7965,1,0.000209239,0.00234071,0.999997,1,-47,-31,-0.953214,56.3108,4.05511e-06,0.000101315,5.96501e-06,0.000101572
8021,1,3.64315e-05,0.00264261,0.999996,1,-47,-30,-0.955725,55.7666,4.37138e-06,0.000109905,5.67556e-06,0.000110138
8077,1,6.03872e-05,0.00287192,0.999996,1,-47,-29,-0.95847,55.2351,5.16074e-06,0.000118163,5.34907e-06,0.000118397
8132,1,0.000152204,0.00297231,0.999996,1,-47,-28,-0.961445,54.7168,4.33103e-06,0.000127203,5.00476e-06,0.000127375
8183,1,-6.58575e-05,0.00284861,0.999996,1,-47,-27,-0.964398,54.2119,2.84522e-06,0.000135765,4.5342e-06,0.00013587
8232,1,-0.000197332,0.00288328,0.999996,1,-47,-26,-0.967134,53.7209,5.07912e-06,0.000142768,3.87184e-06,0.000142911
8278,1,0.000298627,0.00318332,0.999995,1,-47,-25,-0.970165,53.2442,7.16091e-06,0.000151761,3.19967e-06,0.000151963
8324,1,0.000553978,0.0038669,0.999992,1,-47,-24,-0.973512,52.7821,3.08723e-06,0.000159481,2.37711e-06,0.000159529
8368,1,7.70276e-05,0.00533258,0.999986,1,-47,-23,-0.977929,52.335,1.38172e-06,0.000168113,1.52538e-06,0.000168126
8411,1,-0.000237563,0.00773863,0.99997,1,-47,-22,-0.984245,51.9035,3.62595e-06,0.000178481,8.62323e-07,0.00017852
8457,1,-7.49551e-05,0.0154169,0.999881,1,-47,-20.5719,-1,51.3148,5.66899e-06,0.000189822,1.40812e-07,0.000189907
8458,1,-0.000141281,0.0120058,0.999928,1,-47,-21,-0.993564,51.4877,5.26455e-06,0.000186949,3.16316e-07,0.000187023
8512,1,-0.00010061,-0.0155283,0.999879,1,-47,20.5549,-1,51.3079,2.59778e-06,-0.000189562,1.25354e-07,0.000189579
8539,1,-0.000172727,-0.0119925,0.999928,1,-47,21,-0.993319,51.4877,2.26229e-06,-0.000186555,3.0877e-07,0.000186569
8577,1,-0.000281823,-0.00774228,0.99997,1,-47,22,-0.984004,51.9035,7.76438e-07,-0.000178055,8.62891e-07,0.000178059
8617,1,1.60901e-05,-0.00533833,0.999986,1,-47,23,-0.977679,52.335,-1.4391e-06,-0.000167578,1.52724e-06,0.000167591
8659,1,0.000467675,-0.00390705,0.999992,1,-47,24,-0.973261,52.7821,1.68517e-07,-0.00015895,2.38555e-06,0.000158968
8703,1,0.000343696,-0.00315763,0.999995,1,-47,25,-0.969836,53.2442,3.5021e-06,-0.000150234,3.20707e-06,0.000150309
8748,1,-0.00012674,-0.00283408,0.999996,1,-47,26,-0.966935,53.7209,3.44237e-06,-0.000142573,3.88312e-06,0.000142668
8795,1,-9.83166e-05,-0.00287766,0.999996,1,-47,27,-0.964168,54.2119,1.16805e-06,-0.000135317,4.51171e-06,0.000135397
8845,1,8.8227e-05,-0.00296887,0.999996,1,-47,28,-0.961189,54.7168,2.61613e-06,-0.000126224,4.98115e-06,0.00012635
8897,1,-1.81684e-05,-0.00280768,0.999996,1,-47,29,-0.958247,55.2351,2.98645e-06,-0.00011716,5.33333e-06,0.000117319
8951,1,7.47353e-05,-0.00251196,0.999997,1,-47,30,-0.955598,55.7666,1.77303e-06,-0.000109306,5.67362e-06,0.000109467
9007,1,0.000258884,-0.00235143,0.999997,1,-47,31,-0.953252,56.3108,2.88869e-06,-0.000102193,6.00325e-06,0.00010241
9063,1,0.000141102,-0.00215492,0.999998,1,-47,32,-0.950927,56.8674,4.53732e-06,-9.32179e-05,6.26646e-06,9.35384e-05
9119,1,2.42608e-05,-0.00187631,0.999998,1,-47,33,-0.948976,57.4361,3.74564e-06,-8.62801e-05,6.46527e-06,8.6603e-05
9175,1,0.000114802,-0.00169381,0.999999,1,-47,34,-0.947208,58.0164,4.05391e-06,-7.87735e-05,6.64219e-06,7.91569e-05
9232,1,0.000193112,-0.00144516,0.999999,1,-47,35,-0.945621,58.608,4.86355e-06,-7.12442e-05,6.77895e-06,7.17311e-05
9290,1,0.000171237,-0.00117737,0.999999,1,-47,36,-0.944348,59.2106,5.11322e-06,-6.50508e-05,6.93829e-06,6.56192e-05
9348,1,0.000121358,-0.000970484,1,1,-47,37,-0.943293,59.8238,5.54215e-06,-5.90597e-05,7.09229e-06,5.97416e-05
9406,1,0.000159041,-0.000758426,1,1,-47,38,-0.94243,60.4474,5.76752e-06,-5.31518e-05,7.25262e-06,5.39535e-05
9464,1,0.000238198,-0.000629006,1,1,-47,39,-0.941795,61.081,6.20926e-06,-4.74189e-05,7.44145e-06,4.83992e-05
9522,1,0.000193838,-0.000486359,1,1,-47,40,-0.941188,61.7243,6.36718e-06,-4.1399e-05,7.55627e-06,4.25619e-05
